Id,MSSubClass,Street,Utilities,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Bedroom,Kitchen,KitchenQuality,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,Pave,AllPub,Inside,CollgCr,2Story,7,5,2003,2003,Gable,3,1,Gd,8,Typ,0,NA,Attchd,2003,RFn,2,548,2,2008,WD,Normal,208500
2,20,Pave,AllPub,FR2,Veenker,1Story,6,8,1976,1976,Gable,3,1,TA,6,Typ,1,TA,Attchd,1976,RFn,2,460,5,2007,WD,Normal,181500
3,60,Pave,AllPub,Inside,CollgCr,2Story,7,5,2001,2002,Gable,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,608,9,2008,WD,Normal,223500
4,70,Pave,AllPub,Corner,Crawfor,2Story,7,5,1915,1970,Gable,3,1,Gd,7,Typ,1,Gd,Detchd,1998,Unf,3,642,2,2006,WD,Abnorml,140000
5,60,Pave,AllPub,FR2,NoRidge,2Story,8,5,2000,2000,Gable,4,1,Gd,9,Typ,1,TA,Attchd,2000,RFn,3,836,12,2008,WD,Normal,250000
6,50,Pave,AllPub,Inside,Mitchel,1.5Fin,5,5,1993,1995,Gable,1,1,TA,5,Typ,0,NA,Attchd,1993,Unf,2,480,10,2009,WD,Normal,143000
7,20,Pave,AllPub,Inside,Somerst,1Story,8,5,2004,2005,Gable,3,1,Gd,7,Typ,1,Gd,Attchd,2004,RFn,2,636,8,2007,WD,Normal,307000
8,60,Pave,AllPub,Corner,NWAmes,2Story,7,6,1973,1973,Gable,3,1,TA,7,Typ,2,TA,Attchd,1973,RFn,2,484,11,2009,WD,Normal,200000
9,50,Pave,AllPub,Inside,OldTown,1.5Fin,7,5,1931,1950,Gable,2,2,TA,8,Min1,2,TA,Detchd,1931,Unf,2,468,4,2008,WD,Abnorml,129900
10,190,Pave,AllPub,Corner,BrkSide,1.5Unf,5,6,1939,1950,Gable,2,2,TA,5,Typ,2,TA,Attchd,1939,RFn,1,205,1,2008,WD,Normal,118000
11,20,Pave,AllPub,Inside,Sawyer,1Story,5,5,1965,1965,Hip,3,1,TA,5,Typ,0,NA,Detchd,1965,Unf,1,384,2,2008,WD,Normal,129500
12,60,Pave,AllPub,Inside,NridgHt,2Story,9,5,2005,2006,Hip,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005,Fin,3,736,7,2006,New,Partial,345000
13,20,Pave,AllPub,Inside,Sawyer,1Story,5,6,1962,1962,Hip,2,1,TA,4,Typ,0,NA,Detchd,1962,Unf,1,352,9,2008,WD,Normal,144000
14,20,Pave,AllPub,Inside,CollgCr,1Story,7,5,2006,2007,Gable,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,3,840,8,2007,New,Partial,279500
15,20,Pave,AllPub,Corner,NAmes,1Story,6,5,1960,1960,Hip,2,1,TA,5,Typ,1,Fa,Attchd,1960,RFn,1,352,5,2008,WD,Normal,157000
16,45,Pave,AllPub,Corner,BrkSide,1.5Unf,7,8,1929,2001,Gable,2,1,TA,5,Typ,0,NA,Detchd,1991,Unf,2,576,7,2007,WD,Normal,132000
17,20,Pave,AllPub,CulDSac,NAmes,1Story,6,7,1970,1970,Gable,2,1,TA,5,Typ,1,TA,Attchd,1970,Fin,2,480,3,2010,WD,Normal,149000
18,90,Pave,AllPub,Inside,Sawyer,1Story,4,5,1967,1967,Gable,2,2,TA,6,Typ,0,NA,CarPort,1967,Unf,2,516,10,2006,WD,Normal,90000
19,20,Pave,AllPub,Inside,SawyerW,1Story,5,5,2004,2004,Gable,3,1,Gd,6,Typ,0,NA,Detchd,2004,Unf,2,576,6,2008,WD,Normal,159000
20,20,Pave,AllPub,Inside,NAmes,1Story,5,6,1958,1965,Hip,3,1,TA,6,Min1,0,NA,Attchd,1958,Unf,1,294,5,2009,COD,Abnorml,139000
